"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R1C52yesS_A_W_A2_S125"	850999	629672	0.26	46	0.744	"removed"	TRUE	0.03	"primary"	850999	221327	629672	0.260079036520607
"SC89_NKI_12P_R1C55yesS_A_W_A1_S128"	701105	524848	0.25	35	0.971	"kept"	FALSE	0.31	"primary"	701105	176257	524848	0.251398863223055
"SC89_NKI_12P_R1C56yesS_A_W_A1_S129"	935415	700637	0.25	48	0.973	"kept"	FALSE	0.31	"primary"	935415	234778	700637	0.250988064121272
"SC89_NKI_12P_R1C60yesS_A_W_A1_S133"	729144	543629	0.25	39	0.851	"kept"	TRUE	0.03	"primary"	729144	185515	543629	0.254428480519623
"SC89_NKI_12P_R1C64yesS_A_W_A2_S137"	742275	574916	0.23	40	0.981	"kept"	FALSE	0.27	"primary"	742275	167359	574916	0.225467650129669
"SC89_NKI_12P_R1C67yesS_A_W_A2_S140"	810684	585812	0.28	40	0.936	"kept"	FALSE	0.22	"primary"	810684	224872	585812	0.277385516428103
"SC89_NKI_12P_R1C68yesS_A_W_A2_S141"	1044416	790783	0.24	54	0.977	"kept"	FALSE	0.29	"primary"	1044416	253633	790783	0.242846720080887
"SC89_NKI_12P_R1C70yesS_A_W_A2_S143"	739504	560551	0.24	40	0.765	"removed"	TRUE	0.07	"primary"	739504	178953	560551	0.241990577468141
"SC89_NKI_12P_R20C27yesS_A_W_C2_S1468"	1511807	1129914	0.25	78	0.988	"kept"	FALSE	0.34	"primary"	1511807	381893	1129914	0.252606979594618
"SC89_NKI_12P_R20C29yesS_A_W_C2_S1470"	1943476	1440278	0.26	99	0.982	"kept"	FALSE	0.34	"primary"	1943476	503198	1440278	0.258916498068409
"SC89_NKI_12P_R20C32yesS_A_W_C2_S1473"	1871775	1420500	0.24	98	0.985	"kept"	FALSE	0.35	"primary"	1871775	451275	1420500	0.24109468285451
"SC89_NKI_12P_R20C42yesS_A_W_C1_S1483"	1027700	774941	0.25	53	0.88	"kept"	FALSE	0.43	"primary"	1027700	252759	774941	0.245946287827187
"SC89_NKI_12P_R20C45yesS_A_W_C2_S1486"	1180794	919032	0.22	63	0.992	"kept"	FALSE	0.35	"primary"	1180794	261762	919032	0.221683037007302
"SC89_NKI_12P_R20C52yesS_A_W_C2_S1493"	1257301	907158	0.28	64	0.951	"kept"	FALSE	0.23	"primary"	1257301	350143	907158	0.278487808408647
"SC89_NKI_12P_R20C53yesS_A_W_C2_S1494"	1456956	1028216	0.29	70	0.986	"kept"	FALSE	0.34	"primary"	1456956	428740	1028216	0.294271069270452
"SC89_NKI_12P_R20C55yesS_A_W_C1_S1496"	1051029	761436	0.28	51	0.991	"kept"	FALSE	0.37	"primary"	1051029	289593	761436	0.275532834964592
"SC89_NKI_12P_R20C70yesS_A_W_C2_S1511"	872222	657548	0.25	45	0.991	"kept"	FALSE	0.3	"primary"	872222	214674	657548	0.246123120031368
"SC89_NKI_12P_R20C8yesS_A_W_C1_S1449"	1374633	1010752	0.26	67	0.986	"kept"	FALSE	0.35	"primary"	1374633	363881	1010752	0.264711381146822
"SC89_NKI_12P_R21C0yesS_A_W_C1_S1513"	1899772	1420952	0.25	98	0.99	"kept"	FALSE	0.31	"primary"	1899772	478820	1420952	0.252040771208334
